,year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
26,2006,66.58,11.469999999999986,22.55,67.34999999999995,49.800000000000004,10.899999999999997,34.09000000000002,57.730000000000004,38.37000000000004,21.77000000000001,136.16000000000003,4.269999999999995
27,2007,106.50000000000006,24.39000000000003,17.609999999999996,91.06,35.59,23.999999999999993,39.170000000000016,43.89000000000003,71.03999999999999,48.97000000000001,98.20000000000002,9.419999999999991
28,2008,136.39,25.020000000000028,35.37999999999999,87.03000000000004,35.70000000000002,15.589999999999993,70.66,59.83000000000005,59.51000000000001,46.759999999999984,95.33999999999996,11.689999999999996
29,2009,139.3600000000001,20.68000000000003,32.15,76.94000000000001,41.09000000000001,20.31000000000001,34.19000000000002,47.900000000000006,69.89000000000001,33.710000000000015,138.5200000000001,12.559999999999992
30,2010,117.63999999999997,16.530000000000005,14.890000000000002,96.86000000000001,31.900000000000002,11.179999999999993,34.93,70.51999999999997,77.40999999999994,21.990000000000013,92.53,13.869999999999989
31,2011,118.96000000000001,15.979999999999977,22.68,56.08,28.109999999999992,5.109999999999997,35.00000000000001,53.37000000000002,99.36,15.259999999999998,56.990000000000016,8.899999999999993
32,2012,122.00999999999988,5.989999999999999,9.51,22.920000000000012,18.529999999999998,1.7600000000000005,14.459999999999997,47.81000000000002,72.85999999999999,13.38,30.930000000000007,3.329999999999999
33,2013,125.22,6.609999999999992,7.21,25.65,25.12,0.99,13.040000000000001,44.920000000000016,62.799999999999976,8.669999999999995,41.550000000000026,6.330000000000001
34,2014,99.02000000000008,6.0599999999999925,16.15,23.68000000000001,8.89,1.4900000000000002,16.69000000000001,45.84999999999999,65.99999999999996,5.55,46.66,0.9900000000000002
35,2015,70.69999999999996,8.029999999999996,7.78,11.689999999999998,6.050000000000002,0.7000000000000002,7.92,36.439999999999976,66.14999999999999,5.62,41.54000000000001,1.8200000000000003
36,2016,19.900000000000023,1.7900000000000007,3.859999999999999,1.1700000000000004,2.0699999999999994,0.0,1.6400000000000006,6.759999999999995,18.219999999999995,0.3900000000000001,14.599999999999996,0.5000000000000001
37,2017,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
38,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0
